geometry,name,id,latitude,longitude,category,vi
POINT (-3.7501124 40.4075213),Colegio de Educación Infantil y Primaria Bolivia,school_0,40.4075213,-3.7501124,school,0.0
POINT (-3.5981296 40.4472065),Colegio de Educación Infantil y Primaria Ciudad Pegaso,school_1,40.4472065,-3.5981296,school,0.0
POINT (-3.7622051 40.3628619),Colegio de Educación Especial María Soriano,school_2,40.3628619,-3.7622051,school,0.0
POINT (-3.6508507 40.443436),Colegio de Educación Infantil y Primaria Méjico,school_3,40.443436,-3.6508507,school,0.0
POINT (-3.7582251 40.3722376),"Centro Privado de Educación Infantil, Primaria y Secundaria Colegio Diocesano María Inmaculada - Joaquín Turina",school_4,40.3722376,-3.7582251,school,0.0
POINT (-3.7031018 40.4021177),Colegio de Educación Infantil y Primaria San Eugenio y San Isidro,school_5,40.4021177,-3.7031018,school,0.0
POINT (-3.725068 40.3876001),Colegio de Educación Infantil y Primaria República de Ecuador,school_6,40.3876001,-3.725068,school,0.0
POINT (-3.6874627 40.4423487),Colegio de Educación Infantil y Primaria Ramiro de Maeztu,school_7,40.4423487,-3.6874627,school,0.0
POINT (-3.7134168 40.4262288),"Centro Privado de Educación Infantil, Primaria y Secundaria Madres Concepcionistas",school_8,40.4262288,-3.7134168,school,0.0
POINT (-3.7093833 40.3827694),Centro Privado de Educación Infantil y Primaria San Luis-felca,school_9,40.3827694,-3.7093833,school,0.0
POINT (-3.7257724 40.3849226),Colegio de Educación Infantil y Primaria Arcipreste de Hita,school_10,40.3849226,-3.7257724,school,0.0
POINT (-3.5941147 40.455138),"Centro Privado de Educación Infantil, Primaria y Secundaria Alameda de Osuna",school_11,40.455138,-3.5941147,school,0.0
POINT (-3.7726641 40.3802565),"Centro Privado de Educación Infantil, Primaria y Secundaria Beata Filipina-fund.feliciana Viertola",school_12,40.3802565,-3.7726641,school,0.0
POINT (-3.6918802 40.3549461),Centro Privado de Educación Infantil y Primaria Liceo Oroquieta,school_13,40.3549461,-3.6918802,school,0.0
POINT (-3.6987685 40.4620328),Colegio Pablo VI,school_14,40.4620328,-3.6987685,school,0.0
POINT (-3.7029033 40.4972833),Centro Privado de Educación Primaria y Secundaria El Prado,school_15,40.4972833,-3.7029033,school,0.0
POINT (-3.6140021 40.4459524),"Centro Privado de Educación Infantil, Primaria y Secundaria Nuestra Señora de las Nieves",school_16,40.4459524,-3.6140021,school,0.0
POINT (-3.6072162 40.4269984),"Centro Privado de Educación Infantil, Primaria y Secundaria San Vicente",school_17,40.4269984,-3.6072162,school,0.0
POINT (-3.6477394 40.4335241),Centro Privado de Formación Profesional Específica Teide IV,school_18,40.4335241,-3.6477394,school,0.0
POINT (-3.6143057 40.4456264),"Centro Privado de Educación Infantil, Primaria y Secundaria Santo Ángel de la Guarda",school_19,40.4456264,-3.6143057,school,0.0
POINT (-3.7020249 40.3975606),"Centro Privado de Educación Infantil, Primaria y Secundaria San Javier",school_20,40.3975606,-3.7020249,school,0.0
POINT (-3.7032159 40.4507065),Centro Privado de Educación Infantil y Primaria San Antonio,school_21,40.4507065,-3.7032159,school,0.0
POINT (-3.7749985 40.3630969),Centro Privado de Educación Especial Instituto San José,school_22,40.3630969,-3.7749985,school,0.0
POINT (-3.628936 40.4300709),Colegio de Educación Infantil y Primaria Carmen Cabezuelo,school_23,40.4300709,-3.628936,school,0.0
POINT (-3.7789704 40.3769063),"Centro de Educación Privado Infantil, Primaria y Secundaria El Carmelo Teresiano",school_24,40.3769063,-3.7789704,school,0.0
POINT (-3.7296944 40.3806883),"Centro Privado de Educación Infantil, Primaria y Secundaria Santa Beatriz de Silva",school_25,40.3806883,-3.7296944,school,0.0
POINT (-3.7417133 40.3880584),Colegio Con-Pe,school_26,40.3880584,-3.7417133,school,0.0
POINT (-3.7564839 40.3691743),"Centro Privado de Educación Infantil, Primaria y Secundaria Amorós",school_27,40.3691743,-3.7564839,school,0.0
POINT (-3.6137583 40.4541697),Centro Privado de Educación Especial María Corredentora,school_28,40.4541697,-3.6137583,school,0.0
